"name","rfid","equipment_type","asset_cost","rental_cost","location","purchased","notes"
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-04558-AS#-4558-QUEENS WHSE","8230 0000 0000 0000 0006 7866","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-04577-AS#-4577-JERSEY WHSE","8230 0000 0000 0000 0006 7725","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-04607-AS#-4607-JERSEY WHSE","8230 0000 0000 0000 0006 7709","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-04627-AS#-4627-JERSEY WHSE","8230 0000 0000 0000 0006 7700","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-04639-AS#-4639-JERSEY WHSE","8230 0000 0000 0000 0006 7705","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-04662-AS#-4662-JERSEY WHSE","8230 0000 0000 0000 0006 7690","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-04676-AS#-4676-QUEENS WHSE","8230 0000 0000 0000 0006 7863","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-04689-AS#-4689-JERSEY WHSE","8230 0000 0000 0000 0006 7715","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-04698-AS#-4698-JERSEY WHSE","8230 0000 0000 0000 0006 7708","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-04729-AS#-4729-JERSEY WHSE","8230 0000 0000 0000 0006 7728","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-04766-AS#-4766-JERSEY WHSE","8230 0000 0000 0000 0006 7698","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-07348-AS#-7348-QUEENS WHSE","8230 0000 0000 0000 0006 7881","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-11081-AS#-1081-Medford Warehouse","8230 0000 0000 0000 0006 6629","Air Scrubber","$819.00","$0","","",""
